current_url,new_url
https://www.clir.org/pubs/reports/pub64/,http://localhost:4000/reports/pub064/
https://www.clir.org/wp-content/uploads/sites/6/pub64.pdf,https://doi.org/10.5281/zenodo.7753147
https://www.clir.org/pubs/reports/pub65/,http://localhost:4000/reports/pub065/
https://www.clir.org/wp-content/uploads/sites/6/pub65.pdf,https://doi.org/10.5281/zenodo.7753652
https://www.clir.org/pubs/reports/pub67/,http://localhost:4000/reports/pub067/
https://www.clir.org/pubs/reports/pub68/,http://localhost:4000/reports/pub068/
https://www.clir.org/wp-content/uploads/sites/6/pub68.pdf,https://doi.org/10.5281/zenodo.7753705
https://www.clir.org/pubs/reports/henchy/pub70/,http://localhost:4000/reports/pub070
https://www.clir.org/pubs/reports/ostrow/pub71/,http://localhost:4000/reports/pub071/
https://www.clir.org/pubs/reports/pub72/,http://localhost:4000/reports/pub072/
https://www.clir.org/pubs/reports/case/,http://localhost:4000/reports/pub073/
https://www.clir.org/pubs/reports/case/contents/,http://localhost:4000/reports/pub073/
https://www.clir.org/pubs/reports/case/intro/,http://localhost:4000/reports/pub073/#introduction-to-the-public-libraries-communities-and-technology-project
https://www.clir.org/pubs/reports/case/analysis/,http://localhost:4000/reports/pub073/
https://www.clir.org/pubs/reports/hazen/pub74/,http://localhost:4000/reports/pub074/
https://www.clir.org/pubs/reports/pub75/,http://localhost:4000/reports/pub075/
https://www.clir.org/pubs/reports/pub76/,http://localhost:4000/reports/pub076
https://www.clir.org/pubs/reports/pub76/contents/,http://localhost:4000/reports/pub076
https://www.clir.org/pubs/reports/pub76/foreword/,http://localhost:4000/reports/pub076/#foreword
https://www.clir.org/pubs/reports/pub76/introduction/,http://localhost:4000/reports/pub076/#introduction
https://www.clir.org/pubs/reports/pub76/background/,http://localhost:4000/reports/pub076/#background
https://www.clir.org/pubs/reports/pub76/objectives/,http://localhost:4000/reports/pub076/#project-objectives
https://www.clir.org/pubs/reports/pub76/architecture/,http://localhost:4000/reports/pub076/#general-system-architecture
https://www.clir.org/pubs/reports/pub76/information/,http://localhost:4000/reports/pub076/#information-and-reference-subsystem
https://www.clir.org/pubs/reports/pub76/digital/,http://localhost:4000/reports/pub076/#digital-imagestorage-system
https://www.clir.org/pubs/reports/pub76/technical/,http://localhost:4000/reports/pub076/#technical-aspects
https://www.clir.org/pubs/reports/pub76/prospects/,http://localhost:4000/reports/pub076/#new-prospects-long-distance-access
https://www.clir.org/pubs/reports/pub76/conclusions/,http://localhost:4000/reports/pub076/#conclusions
https://www.clir.org/pubs/reports/pub76/bibliography/,http://localhost:4000/reports/pub076/#general-bibliography
https://www.clir.org/pubs/reports/pub76/appendix1/,http://localhost:4000/reports/pub076/#appendix-1-analysis-of-conservation-results
https://www.clir.org/pubs/reports/pub76/appendix2/,http://localhost:4000/reports/pub076/#appendix-2-analysis-of-consultation-results
https://www.clir.org/pubs/reports/pub76/appendix3/,http://localhost:4000/reports/pub076/#appendix-3-supplemental-digitization-of-documents-from-other-archives-analysis-of-results
https://www.clir.org/pubs/reports/pub76/appendix4/,http://localhost:4000/reports/pub076/#appendix-4-figures-for-cost-and-production
https://www.clir.org/pubs/reports/rothenberg/,http://localhost:4000/reports/pub077/
https://www.clir.org/wp-content/uploads/sites/6/pub77.pdf,https://doi.org/10.5281/zenodo.7754010
https://www.clir.org/pubs/reports/rothenberg/contents/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/preface/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/rothenberg/introduction/,http://localhost:4000/reports/pub077/
https://www.clir.org/pubs/reports/rothenberg/scope/,http://localhost:4000/reports/pub077/
